Time,InstanceType,Region,AZ,SPS,IF,OndemandPrice,SpotPrice,Savings
2024-01-09 16:00:00,m5.large,ap-south-1,aps1-az3,3,1.5,0.101,0.0519,48
2024-01-09 16:00:00,m5.large,ap-south-1,aps1-az2,3,1.5,0.101,0.0502,50
2024-01-09 16:00:00,m5.large,ap-south-1,aps1-az1,3,1.5,0.101,0.0528,47
2024-01-09 16:00:00,r5.large,ap-south-1,aps1-az1,3,2.5,0.13,0.0724,44
2024-01-09 16:00:00,r5.large,ap-south-1,aps1-az2,3,2.5,0.13,0.0669,48
2024-01-09 16:00:00,r5.large,ap-south-1,aps1-az3,3,2.5,0.13,0.0665,48
2024-01-09 16:00:00,c5.large,ap-south-1,aps1-az2,3,2.5,0.085,0.0446,47
2024-01-09 16:00:00,c5.large,ap-south-1,aps1-az3,3,2.5,0.085,0.0362,57
2024-01-09 16:00:00,c5.large,ap-south-1,aps1-az1,3,2.5,0.085,0.0398,53
2024-01-09 16:00:00,t3.medium,ap-south-1,aps1-az1,3,3.0,0.0448,0.019,57
2024-01-09 16:00:00,t3.medium,ap-south-1,aps1-az2,3,3.0,0.0448,0.0175,60
2024-01-09 16:00:00,t3.medium,ap-south-1,aps1-az3,3,3.0,0.0448,0.0168,62
2024-01-09 16:00:00,m5.large,eu-north-1,eun1-az1,3,2.0,0.102,0.0372,63
2024-01-09 16:00:00,m5.large,eu-north-1,eun1-az3,3,2.0,0.102,0.0398,60
2024-01-09 16:00:00,m5.large,eu-north-1,eun1-az2,3,2.0,0.102,0.0385,62
2024-01-09 16:00:00,c5.large,eu-north-1,eun1-az1,3,2.5,0.091,0.0385,57
2024-01-09 16:00:00,c5.large,eu-north-1,eun1-az2,3,2.5,0.091,0.0404,55
2024-01-09 16:00:00,c5.large,eu-north-1,eun1-az3,3,2.5,0.091,0.0383,57
2024-01-09 16:00:00,t3.medium,eu-north-1,eun1-az2,3,3.0,0.0432,0.0191,55
2024-01-09 16:00:00,t3.medium,eu-north-1,eun1-az3,3,3.0,0.0432,0.0206,52
2024-01-09 16:00:00,t3.medium,eu-north-1,eun1-az1,3,3.0,0.0432,0.0208,51
2024-01-09 16:00:00,r5.large,eu-north-1,eun1-az3,3,3.0,0.134,0.0426,68
2024-01-09 16:00:00,r5.large,eu-north-1,eun1-az1,3,3.0,0.134,0.0422,68
2024-01-09 16:00:00,r5.large,eu-north-1,eun1-az2,3,3.0,0.134,0.0345,74
2024-01-09 16:00:00,m5.large,eu-west-3,euw3-az1,3,2.5,0.112,0.0387,65
2024-01-09 16:00:00,m5.large,eu-west-3,euw3-az3,3,2.5,0.112,0.0367,67
2024-01-09 16:00:00,m5.large,eu-west-3,euw3-az2,3,2.5,0.112,0.0375,66
2024-01-09 16:00:00,r5.large,eu-west-3,euw3-az3,3,3.0,0.148,0.0371,74
2024-01-09 16:00:00,r5.large,eu-west-3,euw3-az2,3,3.0,0.148,0.0502,66
2024-01-09 16:00:00,r5.large,eu-west-3,euw3-az1,3,3.0,0.148,0.0538,63
2024-01-09 16:00:00,c5.large,eu-west-3,euw3-az1,3,3.0,0.101,0.0408,59
2024-01-09 16:00:00,c5.large,eu-west-3,euw3-az2,3,3.0,0.101,0.0395,60
2024-01-09 16:00:00,c5.large,eu-west-3,euw3-az3,3,3.0,0.101,0.0385,61
2024-01-09 16:00:00,t3.medium,eu-west-3,euw3-az3,3,3.0,0.0472,0.0172,63
2024-01-09 16:00:00,t3.medium,eu-west-3,euw3-az1,3,3.0,0.0472,0.0162,65
2024-01-09 16:00:00,t3.medium,eu-west-3,euw3-az2,3,3.0,0.0472,0.0192,59
2024-01-09 16:00:00,r5.large,eu-west-2,euw2-az3,3,2.5,0.148,0.0684,53
